id,title,slug,date,yt_thumbnail,duration
12671,EXIT 2018 | Solomun Live @ mts Dance Arena FULL SHOW,exit-2018-solomun-live-mts-dance-arena-full-show,1541635200,https://i.ytimg.com/vi/0OI_gvVW6kQ/default.jpg,3375
12936,Deborah De Luca @ Lagoa,deborah-de-luca-lagoa,1542844800,https://i.ytimg.com/vi/BasEhNCCE44/default.jpg,8328
12948,"Ibiza Classics - Live from The O2 london - Pete Tong, Heritage Orchestra, Jules Buckley",ibiza-classics-live-from-the-o2-london-pete-tong-heritage-orchestra-jules-buckley,1543622400,https://i.ytimg.com/vi/3hS9qK_Z1IM/default.jpg,6825
14460249,Melodic Fusion,melodic-fusion,1631059200,https://i.ytimg.com/vi/8Xh2wcqwmtU/default.jpg,7207
14460401,Armada Next - Episode 80,armada-next-episode-80,1632182400,https://i.ytimg.com/vi/g8x0upA9les/default.jpg,3602
14460439,C-los | Rose Flower,c-los-rose-flower,1632441600,https://i.ytimg.com/vi/7EDHK1ba4a4/default.jpg,3582
14460829,Jonas Blue (DJ-set) | SLAM!,jonas-blue-dj-set-slam,1634688000,https://i.ytimg.com/vi/RqJXK09lS-E/default.jpg,3594
14459457,Hysteria Radio 279,hysteria-radio-279,1628035200,https://i.ytimg.com/vi/nsl4MgGagMo/default.jpg,3601
14459455,Jacked Radio #511 by Afrojack,jacked-radio-511-by-afrojack,1628208000,https://i.ytimg.com/vi/ir8iNXcyXhE/default.jpg,3606
14459456,Joe Stone X 18HRS (DJ-set) | SLAM!,joe-stone-x-18hrs-dj-set-slam,1628035200,https://i.ytimg.com/vi/Ftp4tfIJl1g/default.jpg,2957
